failure,smart_1_normalized,smart_1_raw,smart_2_normalized,smart_2_raw,smart_3_normalized,smart_3_raw,smart_4_raw,smart_5_raw,smart_8_normalized,smart_8_raw,smart_9_raw,smart_12_raw,smart_192_raw,smart_193_raw,smart_194_normalized,smart_194_raw
1,100,0,135,108,143,540,14,0,124,36,19313,14,118,118,253,21
1,100,0,136,104,127,556,19,2,122,37,19379,19,148,148,222,27
1,100,0,136,104,124,566,19,0,122,37,18876,18,122,122,250,24
1,100,0,136,104,137,507,15,0,122,37,18024,15,139,139,193,31
1,99,65537,100,0,125,561,15,67,100,0,27722,15,932,932,253,23
1,100,0,136,102,133,524,29,0,124,36,17356,29,652,652,206,29
1,100,0,136,103,138,567,10,0,132,32,24028,10,12,12,240,25
1,100,0,134,111,124,564,15,94,135,31,27473,13,17,17,240,25
1,100,0,136,103,139,557,12,0,122,37,18549,12,104,104,222,27
1,100,0,135,108,143,540,14,0,122,37,19913,14,121,121,253,20
1,100,0,136,104,127,556,19,2,122,37,19980,19,148,148,214,28
1,100,0,136,104,124,566,19,0,122,37,19476,18,123,123,240,25
1,100,0,136,104,137,507,15,0,122,37,18623,15,139,139,193,31
1,100,0,100,0,125,561,15,67,100,0,28322,15,955,955,253,23
1,100,0,136,104,133,524,29,0,124,36,17956,29,653,653,200,30
1,100,0,136,103,138,567,10,0,132,32,24628,10,12,12,240,25
1,100,0,134,111,124,564,15,94,135,31,28073,13,17,17,240,25
1,100,0,100,0,124,562,15,0,100,0,29779,15,1104,1104,250,24
1,100,0,136,104,143,525,14,0,122,37,18624,14,129,129,206,29
1,100,0,136,104,128,570,21,0,122,37,19476,21,139,139,250,24
1,100,65536,133,116,140,559,11,0,130,33,24688,11,13,13,240,25
1,100,0,135,108,100,449,9,0,132,32,24297,9,12,12,222,27
1,100,0,135,107,137,564,11,0,130,33,24627,11,13,13,240,25
1,100,0,100,0,136,565,14,0,100,0,28322,14,952,952,253,23
1,100,0,136,104,144,541,14,0,122,37,19913,14,109,109,253,22
1,100,0,100,0,124,562,19,0,100,0,29735,19,1088,1088,250,24
1,100,0,100,0,125,557,24,0,100,0,29770,24,1102,1102,222,27
1,100,0,136,104,100,450,8,0,132,32,24607,8,9,9,253,23
1,100,0,136,104,137,564,12,0,122,37,18220,12,219,219,206,29
1,100,0,100,0,125,552,17,0,100,0,30738,17,1145,1145,240,25
1,100,1,100,0,124,563,25,0,100,0,29769,23,1094,1094,214,28
1,100,0,135,106,125,559,25,0,124,36,18510,25,349,349,193,31
1,100,0,135,106,132,555,15,0,122,37,19557,15,152,152,206,29
1,100,0,135,108,124,561,33,0,132,32,28051,32,34,34,240,25
1,100,0,136,104,123,566,15,0,135,31,24606,15,15,15,240,25
1,100,0,136,104,129,560,22,0,122,37,19725,22,130,130,193,31
1,100,0,135,108,143,505,15,0,122,37,19148,15,119,119,200,30
1,100,0,136,100,136,568,14,0,122,37,18647,14,119,119,230,26
1,100,0,135,108,140,559,12,0,135,31,24687,12,15,15,206,29
1,100,0,136,104,126,552,20,0,122,37,19195,20,239,239,214,28
1,100,0,134,111,127,560,19,0,122,37,19980,19,120,120,214,28
1,100,0,135,108,124,559,23,0,122,37,18668,22,141,141,222,27
1,100,65536,134,109,124,565,31,0,124,36,17977,31,243,243,206,29
1,100,0,136,104,125,560,16,0,122,37,18879,16,150,150,230,26
1,100,0,134,111,139,566,14,0,132,32,24293,14,15,15,230,26
1,100,0,100,0,124,562,23,0,100,0,29772,23,1088,1088,230,26
1,100,0,100,0,124,561,19,0,100,0,28954,19,1031,1031,250,24
1,100,0,136,100,125,555,16,0,126,35,18879,16,118,118,230,26
1,100,0,100,0,128,564,19,0,100,0,30505,19,1130,1130,193,31
1,100,0,134,111,127,550,15,0,122,37,19964,15,138,138,222,27
1,100,0,100,0,127,565,22,0,100,0,28934,22,1032,1032,200,30
1,100,0,136,104,130,514,20,0,122,37,18619,20,168,168,181,33
1,100,0,137,99,134,520,28,0,122,37,17945,27,227,227,193,31
2,81,21954915,100,0,126,562,18,0,100,0,28682,18,1037,1037,253,21
2,77,4981711,100,0,136,556,34,0,100,0,29083,34,15264,15264,214,28
2,1,4294967295,100,0,123,568,17,0,100,0,29710,17,1158,1158,214,28
2,100,0,100,0,122,573,16,16,100,0,30925,16,1158,1158,230,26
2,100,0,100,0,123,565,20,12,100,0,30640,20,1103,1103,171,35
2,100,0,134,112,139,565,14,39,132,32,25445,14,17,17,187,32
2,53,853223928,100,0,122,572,15,10,100,0,31891,15,1173,1173,253,23
2,100,0,100,0,121,576,15,695,100,0,31890,15,1191,1191,250,24
2,99,131072,135,105,100,442,8,4,130,33,25998,8,9,9,253,22
